Material,Month,Stock On Hand,Val.stk(I),Tot. usage,Unit
33909,7.2022,"1,138.00",PC,474,PC
33909,8.2022,605,PC,573,PC
33909,9.2022,828,PC,606,PC
33909,10.2022,758,PC,636,PC
33909,11.2022,869,PC,613,PC
33909,12.2022,"1,017.00",PC,646,PC
33909,1.2023,541,PC,425,PC
33909,2.2023,545,PC,336,PC
33909,3.2023,416,PC,288,PC
33909,4.2023,623,PC,321,PC
33909,5.2023,449,PC,371,PC
33909,6.2023,801,PC,418,PC
33909,7.2023,914,PC,473,PC
33909,8.2023,"1,590.00",PC,633,PC
33909,9.2023,"1,120.00",PC,488,PC
33909,10.2023,849,PC,611,PC
33909,11.2023,731,PC,408,PC
33909,12.2023,258,PC,242,PC
