Material,Month,Total stck,Total stck_2_,Tot. usage,Tot. usage_2_
31357,10.2023,0,PC,0,PC
31365,1.2021,0,PC,0,PC
31365,2.2021,0,PC,0,PC
31365,3.2021,0,PC,0,PC
31365,4.2021,0,PC,0,PC
31365,5.2021,0,PC,0,PC
31365,6.2021,0,PC,0,PC
31365,7.2021,0,PC,0,PC
31365,8.2021,0,PC,0,PC
31365,9.2021,0,PC,0,PC
31365,10.2021,0,PC,0,PC
31365,11.2021,0,PC,0,PC
31365,12.2021,0,PC,0,PC
31365,1.2022,0,PC,0,PC
31365,2.2022,0,PC,0,PC
31365,3.2022,0,PC,0,PC
31365,4.2022,0,PC,0,PC
31365,5.2022,0,PC,0,PC
31365,6.2022,0,PC,0,PC
31365,7.2022,0,PC,0,PC
31365,8.2022,0,PC,0,PC
31365,9.2022,0,PC,0,PC
31365,10.2022,0,PC,0,PC
31365,11.2022,0,PC,0,PC
31365,12.2022,0,PC,0,PC
31365,1.2023,0,PC,0,PC
31365,2.2023,0,PC,0,PC
31365,3.2023,0,PC,0,PC
31365,4.2023,0,PC,0,PC
31365,5.2023,0,PC,0,PC
31365,6.2023,0,PC,0,PC
31365,7.2023,0,PC,0,PC
31365,8.2023,0,PC,0,PC
31365,9.2023,0,PC,0,PC
31365,10.2023,0,PC,0,PC
31373,1.2021,0,PC,0,PC
31373,2.2021,0,PC,0,PC
31373,3.2021,0,PC,0,PC
31373,4.2021,0,PC,0,PC
31373,5.2021,0,PC,0,PC
31373,6.2021,0,PC,0,PC
31373,7.2021,0,PC,0,PC
31373,8.2021,0,PC,0,PC
31373,9.2021,0,PC,0,PC
31373,10.2021,0,PC,0,PC
31373,11.2021,0,PC,0,PC
31373,12.2021,0,PC,0,PC
31373,1.2022,0,PC,0,PC
31373,2.2022,0,PC,0,PC
31373,3.2022,0,PC,0,PC
31373,4.2022,0,PC,0,PC
31373,5.2022,0,PC,0,PC
31373,6.2022,0,PC,0,PC
31373,7.2022,0,PC,0,PC
31373,8.2022,0,PC,0,PC
31373,9.2022,0,PC,0,PC
31373,10.2022,0,PC,0,PC
31373,11.2022,0,PC,0,PC
31373,12.2022,0,PC,0,PC
31373,1.2023,0,PC,0,PC
31373,2.2023,0,PC,0,PC
31373,3.2023,0,PC,0,PC
31373,4.2023,0,PC,0,PC
31373,5.2023,0,PC,0,PC
31373,6.2023,0,PC,0,PC
31373,7.2023,0,PC,0,PC
31373,8.2023,0,PC,0,PC
31373,9.2023,0,PC,0,PC
31373,10.2023,0,PC,0,PC
31405,1.2021,0,PC,0,PC
31405,2.2021,0,PC,0,PC
31405,3.2021,0,PC,0,PC
31405,4.2021,0,PC,0,PC
31405,5.2021,0,PC,0,PC
31405,6.2021,0,PC,0,PC
31405,7.2021,0,PC,0,PC
31405,8.2021,0,PC,0,PC
31405,9.2021,0,PC,0,PC
31405,10.2021,0,PC,0,PC
31405,11.2021,0,PC,0,PC
31405,12.2021,0,PC,0,PC
31405,1.2022,0,PC,0,PC
31405,2.2022,0,PC,0,PC
31405,3.2022,0,PC,0,PC
31405,4.2022,0,PC,0,PC
31405,5.2022,0,PC,0,PC
31405,6.2022,0,PC,0,PC
31405,7.2022,0,PC,0,PC
31405,8.2022,0,PC,0,PC
31405,9.2022,0,PC,0,PC
31405,10.2022,0,PC,0,PC
31405,11.2022,0,PC,0,PC
31405,12.2022,0,PC,0,PC
31405,1.2023,0,PC,0,PC
31405,2.2023,0,PC,0,PC
