"Material","Month","Stock On Hand","Val.stk(I)","Consumption","Tot. usage"
"033909","02.2018","529.00","PC","417","PC"
"033909","03.2018","618.00","PC","356","PC"
"033909","04.2018","338.00","PC","316","PC"
"033909","05.2018","495.00","PC","380","PC"
"033909","06.2018","410.00","PC","363","PC"
"033909","07.2018","562.00","PC","396","PC"
"033909","08.2018","970.00","PC","571","PC"
"033909","09.2018","1,594.00","PC","529","PC"
"033909","10.2018","1,874.00","PC","687","PC"
"033909","11.2018","887.00","PC","549","PC"
"033909","12.2018","630.00","PC","511","PC"
"033909","01.2019","616.00","PC","452","PC"
"033909","02.2019","286.00","PC","277","PC"
"033909","03.2019","379.00","PC","360","PC"
"033909","04.2019","343.00","PC","314","PC"
"033909","05.2019","445.00","PC","424","PC"
"033909","06.2019","520.00","PC","421","PC"
"033909","07.2019","791.00","PC","581","PC"
"033909","08.2019","926.00","PC","565","PC"
"033909","09.2019","639.00","PC","563","PC"
"033909","10.2019","1,182.00","PC","544","PC"
"033909","11.2019","1,289.00","PC","604","PC"
"033909","12.2019","1,254.00","PC","525","PC"
"033909","01.2020","457.00","PC","342","PC"
"033909","02.2020","516.00","PC","335","PC"
"033909","03.2020","312.00","PC","301","PC"
"033909","04.2020","345.00","PC","263","PC"
"033909","05.2020","301.00","PC","281","PC"
"033909","06.2020","603.00","PC","423","PC"
"033909","07.2020","711.00","PC","491","PC"
"033909","08.2020","810.00","PC","407","PC"
"033909","09.2020","523.00","PC","413","PC"
"033909","10.2020","812.00","PC","526","PC"
"033909","11.2020","594.00","PC","434","PC"
"033909","12.2020","1,213.00","PC","494","PC"
"033909","01.2021","930.00","PC","500","PC"
"033909","02.2021","631.00","PC","244","PC"
"033909","03.2021","340.00","PC","313","PC"
"033909","04.2021","544.00","PC","360","PC"
"033909","05.2021","569.00","PC","535","PC"
"033909","06.2021","1,097.00","PC","770","PC"
"033909","07.2021","610.00","PC","482","PC"
"033909","08.2021","622.00","PC","593","PC"
"033909","09.2021","778.00","PC","614","PC"
"033909","10.2021","726.00","PC","642","PC"
"033909","11.2021","562.00","PC","540","PC"
"033909","12.2021","452.00","PC","429","PC"
"033909","01.2022","587.00","PC","408","PC"
"033909","02.2022","543.00","PC","527","PC"
"033909","03.2022","839.00","PC","315","PC"
"033909","04.2022","546.00","PC","346","PC"
"033909","05.2022","593.00","PC","345","PC"
"033909","06.2022","617.00","PC","380","PC"
"033909","07.2022","1,138.00","PC","474","PC"
"033909","08.2022","605.00","PC","573","PC"
"033909","09.2022","828.00","PC","606","PC"
"033909","10.2022","758.00","PC","636","PC"
"033909","11.2022","869.00","PC","613","PC"
"033909","12.2022","1,017.00","PC","646","PC"
"033909","01.2023","541.00","PC","425","PC"
"033909","02.2023","545.00","PC","336","PC"
"033909","03.2023","416.00","PC","288","PC"
"033909","04.2023","623.00","PC","321","PC"
"033909","05.2023","449.00","PC","371","PC"
"033909","06.2023","801.00","PC","418","PC"
"033909","07.2023","914.00","PC","473","PC"
"033909","08.2023","1,590.00","PC","633","PC"
"033909","09.2023","1,120.00","PC","488","PC"
"033909","10.2023","849.00","PC","611","PC"
"033909","11.2023","731.00","PC","408","PC"
"033909","12.2023","258.00","PC","242","PC"
